,od,birdorder,birdloc,avgCorr,quant025,quant50,quant975,pval,birdloc_lab
511,USAandCanada-JapanKorea,Ciconiifor,dest,0.063344495,-0.301549965,0.11566059,0.255183082,0.508494624,destination
519,USAandCanada-JapanKorea,Pelecanifor,dest,-0.179114728,-0.282646028,-0.27179188,0.082979873,0.511272401,destination
540,USAandCanada-LA,Sulifor,ori,-0.180020511,-0.342680544,-0.328529523,0.27842252,0.517639254,origin
133,Europe-WA,Ciconiifor,dest,-0.14479099,-0.578472983,-0.231824357,0.648108441,0.521792115,destination
96,Europe-JapanKorea,Charadriifor,ori,0.187288962,-0.430065032,0.176108692,0.776454797,0.524408602,origin
314,Russia-Europe,Ciconiifor,ori,0.109631125,-0.128510793,0.125345224,0.335611723,0.52546595,origin
428,SChina-SEA,Passerifor,ori,0.234064353,-0.276498027,0.218739656,0.679837237,0.526451613,origin
534,USAandCanada-LA,Gruifor,ori,-0.038179834,-0.808559491,-0.199190642,0.743565983,0.527000627,origin
199,JapanKorea-USAandCanada,Accipitrifor,dest,0.206450106,-0.536828753,0.115232659,0.862931329,0.530770609,destination
447,SEA-JapanKorea,Pelecanifor,dest,-0.417531648,-0.682807327,-0.678249311,0.190513944,0.532491039,destination
517,USAandCanada-JapanKorea,Passerifor,dest,0.335397496,-0.177320008,0.532755816,0.547854067,0.536039427,destination
460,SEA-Russia,Falconifor,ori,-0.123691819,-0.325132704,-0.3107492,0.620598652,0.536182796,origin
208,JapanKorea-USAandCanada,Falconifor,ori,0.090141083,-0.718758278,0.210962784,0.834709405,0.539892473,origin
210,JapanKorea-USAandCanada,Gruifor,ori,0.07171301,-0.18557819,0.160370638,0.201051929,0.541344086,origin
2,Africa-Europe,Accipitrifor,ori,0.284531318,-0.37816875,0.488730237,0.625866997,0.542132616,origin
56,CA-Mongolia,Accipitrifor,ori,0.110394914,-0.451399732,0.099539326,0.498507144,0.547921147,origin
360,Russia-SChina,Sulifor,ori,-0.10712175,-0.528843359,-0.083474509,0.15208633,0.551863799,origin
4,Africa-Europe,Anserifor,ori,0.15161988,-0.775564293,0.146396073,0.791952006,0.552759857,origin
135,Europe-WA,Falconifor,dest,-0.284935493,-0.712412665,-0.403836583,0.372731367,0.555179211,destination
522,USAandCanada-JapanKorea,Sulifor,ori,-0.01370886,-0.211060833,-0.059060399,0.177763019,0.556523297,origin
67,CA-Mongolia,Passerifor,dest,-0.174529056,-0.62031466,-0.291829226,0.715197724,0.55718638,destination
59,CA-Mongolia,Charadriifor,dest,-0.174382268,-0.620286862,-0.293779632,0.7126069,0.55811828,destination
