Location,Sequence name
Africa,EPI_ISL_16997921|A/chicken/Ghana/AVL-763_21VIR7050-39/2021|2021-06-08
Africa,EPI_ISL_17069180|A/African_penguin/South_Africa/698162_AP446/2022|2022-09-20
Africa,EPI_ISL_17071927|A/African_penguin/South_Africa/698730_DOA308/2022|2022-09-28
Africa,EPI_ISL_17071943|A/African_penguin/South_Africa/702626_DOA410/2022|2022-11-04
Africa,EPI_ISL_17071946|A/Cape_gannet/South_Africa/702625_G123/2022|2022-11-04
Africa,EPI_ISL_17072111|A/African_penguin/South_Africa/702626_AP821/2022|2022-11-07
Africa,EPI_ISL_17414582|A/avian/Nigeria/004_22VIR3286-37/2022|2022-01-04
Africa,EPI_ISL_17414583|A/avian/Nigeria/023_22VIR3286-44/2022|2022-01-07
Africa,EPI_ISL_17414584|A/avian/Nigeria/115_22VIR3286-61/2022|2022-01-28
Africa,EPI_ISL_17414585|A/avian/Nigeria/120_22VIR3286-62/2022|2022-01-28
Africa,EPI_ISL_17414586|A/avian/Nigeria/599_22VIR3286-1/2021|2021-10-05
Africa,EPI_ISL_17414587|A/avian/Nigeria/643_22VIR3286-4/2021|2021-10-16
Africa,EPI_ISL_17414588|A/avian/Nigeria/658_22VIR3286-8/2021|2021-10-28
Africa,EPI_ISL_17414589|A/avian/Nigeria/674_22VIR3286-10/2021|2021-11-11
Africa,EPI_ISL_17414590|A/avian/Nigeria/683_22VIR3286-11/2021|2021-11-19
Africa,EPI_ISL_17414591|A/avian/Nigeria/684_22VIR3286-12/2021|2021-11-19
Africa,EPI_ISL_17414592|A/avian/Nigeria/711_22VIR3286-17/2021|2021-12-15
Africa,EPI_ISL_17414593|A/avian/Nigeria/721_22VIR3286-21/2021|2021-12-23
Africa,EPI_ISL_17414594|A/avian/Nigeria/737_22VIR3286-25/2021|2021-12-24
Africa,EPI_ISL_17414595|A/avian/Nigeria/738_22VIR3286-26/2021|2021-12-24
Africa,EPI_ISL_17414596|A/avian/Nigeria/739_22VIR3286-27/2021|2021-12-24
Africa,EPI_ISL_17414597|A/avian/Nigeria/741_22VIR3286-29/2021|2021-12-28
Africa,EPI_ISL_17414598|A/avian/Nigeria/745_22VIR3286-31/2021|2021-12-28
