Netweight (kg)	Trade Value (US$)
3250	128738
87292	576437
1750	92106
964	48802
12737	627909
60	188
502749	4152095
4	673
1000	43072
183	2006
230	8100
453437	2352175
89	2559
468	9085
1437	8639
1242	60739
44653	1664180
6	867
19025	13362
1000	1037
16800	11842
1225	483
587996	3520846
40	2430
556115	2685595
14163	15710
2812	146927
14865	670107
1	77
847	4815
664	786
183	4029
13589	200636
90	1319
167	2395
12698	177447
634	19475
261067	3457166
2806	129330
183	6640
206877	1325912
33	4542
51168	1990742
5139	54797
35	2071
177	15085
4790	36957
137	683
22564	131663
20575	104693
1981	26799
8	171
1826238	4186228
56085	11247
14500	530841
632	6009
207910	1306049
56	5039
2000	113177
2335	93039
781	32555
1535440	2087608
6499	664
11593	143500
132	1751
48	704
11143	132938
270	8107
3784	4282
324	798
37	664
1769	1507
1654	1313
16030	168583
15870	166124
160	2459
16050	225021
15124	220592
882	3711
44	718
2687	37000
2687	37000
10290	78000
332	4000
9958	74000
3248	53186
3248	53186
213	9897
213	9897
46323	4096000
2625	15000
1393	63000
8687	556000
2312	101000
296	23000
12687	632000
10511	593000
7812	2113000
558114	2125988
933	6162
508937	962717
296	19222
24171	247481
23777	890406
54079	4586000
2000	96000
25187	869000
3437	168000
97	3000
796	29000
5375	269000
8562	919000
8625	2233000
256431	2889584
660	34199
106648	839999
597	21255
98241	567019
50207	1426637
78	475
72362	7168000
796	72000
1125	75000
5187	28000
3500	225000
20999	1706000
6375	398000
3011	519000
1187	67000
12199	577000
7608	1022000
10375	2479000
0	5637
0	5637
174347	2780809
104808	814320
27363	330656
42160	1635434
16	399
73631	6387000
699	45000
3312	39000
1687	84000
17250	1647000
4000	168000
2900	587000
1312	64000
14000	723000
6784	111000
13312	1193000
8375	1726000
0	23
0	23
243303	2891288
1571	77635
199786	1278812
4121	57092
37825	1477749
268600	9185000
6300	64000
9100	117000
900	7000
5500	227000
53600	2440000
13100	446000
3900	745000
9600	37000
34200	725000
5900	39000
60900	790000
23200	1859000
8100	1662000
34300	27000
213	19995
23	2559
40	2699
150	14737
313821	2314059
652	2337
235311	969964
52839	397819
25019	943939
123244	13507794
1534	105245
9062	704626
628	3354
19195	2676858
17187	1977652
4061	78753
914	34707
5574	872940
769	7048
117	1212
9663	99567
4675	684390
49815	6261359
50	83
7824747	11905712
1937	11811
422500	1597045
7172510	10018580
227800	278276
0	3953000
0	188000
0	150000
0	53000
0	12000
0	2317000
0	1233000
115588	12237846
1511	7589
4421	331895
667	9762
12875	1548168
11750	1389833
5437	24757
421	24822
11272	1307047
175	1612
187	2202
757	9355
14265	146191
6531	798206
45319	6636407
9946	1350029
2937	131429
3452	679728
18	3608
664	36203
2875	499061
0	8811193
0	51788
0	625596
0	8133377
0	432
0	3616000
0	50000
0	7000
0	70000
0	94000
0	2633000
0	762000
51057	3707329
589	644
6312	702988
3875	550233
13867	187464
1312	62057
199	6191
269	3816
8375	68632
1175	208966
15062	1916119
22	219
43605	2325555
3750	731105
37230	972100
2625	622350
0	5745649
0	5745130
0	519
0	4353000
0	55000
0	201000
0	19000
0	318000
0	332000
0	2574000
0	854000
251262	9413093
816	373829
226	1915
1187	1539742
632	853516
4	562
597	10623
6768	491975
109	38188
2914	1584741
31	13189
97	1648
16199	212083
308	2993
1089	1049374
220285	3238715
5125	1881067
1000	1146480
4125	734587
0	7211826
0	7084
0	19378
0	97133
0	6367
0	7081864
0	4143000
0	239000
0	180000
0	84000
0	164000
0	1425000
0	2051000
538516	10185403
446	27877
8851	386842
302277	2619565
20998	1709940
87618	539451
5263	882774
67200	111283
139	599
40	668
24787	236352
4784	1042302
16113	2627750
17312	2324415
1606	644613
6600	129995
9106	1549807
	4570574
	229492
	4339291
	1791
	4810000
	269000
	213000
	95000
	244000
	2759000
	1230000
3384805	30628992
24875	250583
32500	1421818
2850533	15045767
27104	577699
1625	185757
46952	207784
146581	846604
242855	11228947
11780	864032
0	12435872
0	7122
0	1948
0	835967
0	2053964
0	173547
0	64086
0	50024
0	76209
0	73819
0	6929
0	4663829
0	4428428
2904898	28908996
3960	127489
5812	60332
35855	1740180
2445240	14133738
8812	146343
660	89315
23221	543639
167207	661811
197444	9994189
16687	1411959
0	11811025
0	2639
0	682131
0	1401693
0	304862
0	46214
0	193702
0	96574
0	176345
0	4511424
